code	name	safename
BTC	Bitcoin	bitcoin
XRP	XRP	ripple
ETH	Ethereum	ethereum
BCH	Bitcoin Cash	bitcoin-cash
XLM	Stellar	stellar
EOS	EOS	eos
LTC	Litecoin	litecoin
USDT	Tether	tether
BSV	Bitcoin SV	bitcoin-sv
ADA	Cardano	cardano
XMR	Monero	monero
TRX	TRON	tron
DASH	Dash	dash
MIOTA	IOTA	iota
XEM	NEM	nem
BNB	Binance Coin	binance-coin
NEO	NEO	neo
ETC	Ethereum Classic	ethereum-classic
ZEC	Zcash	zcash
XTZ	Tezos	tezos
BTG	Bitcoin Gold	bitcoin-gold
VET	VeChain	vechain
MKR	Maker	maker
DOGE	Dogecoin	dogecoin
ONT	Ontology	ontology
ZRX	0x	0x
OMG	OmiseGO	omisego
BAT	Basic Attenti...	basic-attention-token
TUSD	TrueUSD	trueusd
QTUM	Qtum	qtum
DCR	Decred	decred
USDC	USD Coin	usd-coin
LSK	Lisk	lisk
BCD	Bitcoin Diamond	bitcoin-diamond
ZIL	Zilliqa	zilliqa
DGB	DigiByte	digibyte
BCN	Bytecoin	bytecoin-bcn
NANO	Nano	nano
AE	Aeternity	aeternity
PAX	Paxos Standar...	paxos-standard-token
XVG	Verge	verge
BTS	BitShares	bitshares
ICX	ICON	icon
AOA	Aurora	aurora
SC	Siacoin	siacoin
LINK	Chainlink	chainlink
WAVES	Waves	waves
STEEM	Steem	steem
BTM	Bytom	bytom
NPXS	Pundi X	pundi-x
PPT	Populous	populous
REP	Augur	augur
FCT	Factom	factom
GNT	Golem	golem-network-tokens
STRAT	Stratis	stratis
KMD	Komodo	komodo
QASH	QASH	qash
MAID	MaidSafeCoin	maidsafecoin
HOT	Holo	holo
ETN	Electroneum	electroneum
SNT	Status	status
CNX	Cryptonex	cryptonex
R	Revain	revain
ARDR	Ardor	ardor
IOST	IOST	iostoken
MANA	Decentraland	decentraland
WAX	WAX	wax
NEXO	Nexo	nexo
DAI	Dai	dai
ETP	Metaverse ETP	metaverse
KCS	KuCoin Shares	kucoin-shares
BTCP	Bitcoin Private	bitcoin-private
HT	Huobi Token	huobi-token
INB	Insight Chain	insight-chain
SRN	SIRIN LABS Token	sirin-labs-token
WTC	Waltonchain	waltonchain
MONA	MonaCoin	monacoin
RVN	Ravencoin	ravencoin
MOAC	MOAC	moac
PIVX	PIVX	pivx
ARK	Ark	ark
WAN	Wanchain	wanchain
ODE	ODEM	odem
MGO	MobileGo	mobilego
RDD	ReddCoin	reddcoin
ELA	Elastos	elastos
POLY	Polymath	polymath-network
GXS	GXChain	gxchain
BNT	Bancor	bancor
HC	HyperCash	hypercash
MITH	Mithril	mithril
VERI	Veritaseum	veritaseum
QKC	QuarkChain	quarkchain
XIN	Mixin	mixin
AION	Aion	aion
THETA	Theta Token	theta-token
LRC	Loopring	loopring
GUSD	Gemini Dollar	gemini-dollar
DGD	DigixDAO	digixdao
BOS	BOScoin	boscoin
ZEN	Horizen	zencash
MCO	Crypto.com	crypto-com
LKY	Linkey	linkey
ELF	aelf	aelf
LOOM	Loom Network	loom-network
CENNZ	Centrality	centrality
POWR	Power Ledger	power-ledger
XZC	Zcoin	zcoin
CMT	CyberMiles	cybermiles
NAS	Nebulas	nebulas-token
NXT	Nxt	nxt
NSD	Nasdacoin	nasdacoin
SLT	Smartlands	smartlands
DGTX	Digitex Futures	digitex-futures
PAY	TenX	tenx
DCN	Dentacoin	dentacoin
DROP	Dropil	dropil
FUN	FunFair	funfair
XPX	ProximaX	proximax
GBC	Gold Bits Coin	gold-bits-coin
DRGN	Dragonchain	dragonchain
EDR	Endor Protocol	endor-protocol
WICC	WaykiChain	waykichain
BHPC	BHPCash	bhpcash
GAS	Gas	gas
KNC	Kyber Network	kyber-network
ENG	Enigma	enigma
GO	GoChain	gochain
CTXC	Cortex	cortex
KIN	Kin	kin
EDO	Eidoo	eidoo
BIX	Bibox Token	bibox-token
CVC	Civic	civic
STORJ	Storj	storj
SYS	Syscoin	syscoin
NXS	Nexus	nexus
TKY	THEKEY	thekey
SALT	SALT	salt
GVT	Genesis Vision	genesis-vision
BRD	Bread	bread
GRS	Groestlcoin	groestlcoin
FSN	Fusion	fusion
NULS	Nuls	nuls
AGI	SingularityNET	singularitynet
RLC	iExec RLC	rlc
ICN	Iconomi	iconomi
ENJ	Enjin Coin	enjin-coin
DENT	Dent	dent
STORM	Storm	storm
VITAE	Vitae	vitae
MDA	Moeda Loyalty...	moeda-loyalty-points
EURS	STASIS EURS	stasis-eurs
REQ	Request Network	request-network
IQ	Everipedia	everipedia
OCN	Odyssey	odyssey
GBYTE	Byteball Bytes	byteball
SUB	Substratum	substratum
CND	Cindicator	cindicator
PPC	Peercoin	peercoin
EMC	Emercoin	emercoin
SMART	SmartCash	smartcash
MFT	Mainframe	mainframe
IGNIS	Ignis	ignis
SAN	Santiment Net...	santiment
TEN	Tokenomy	tokenomy
RHOC	RChain	rchain
GTO	Gifto	gifto
VTC	Vertcoin	vertcoin
TPAY	TokenPay	tokenpay
C20	CRYPTO20	c20
MAN	Matrix AI Net...	matrix-ai-network
TEL	Telcoin	telcoin
APIS	APIS	apis
DMT	DMarket	dmarket
OSA	Optimal Shelf...	optimal-shelf-availability-token
SKY	Skycoin	skycoin
NEBL	Neblio	neblio
ARB	ARBITRAGE	arbitrage
PMA	PumaPay	pumapay
CS	Credits	credits
POE	Po.et	poet
EMC2	Einsteinium	einsteinium
TRUE	TrueChain	truechain
NOAH	Noah Coin	noah-coin
MTL	Metal	metal
WGR	Wagerr	wagerr
WWB	Wowbit	wowbit
DATA	Streamr DATAcoin	streamr-datacoin
BFT	BnkToTheFuture	bnktothefuture
CRPT	Crypterium	crypterium
PART	Particl	particl
BCO	BridgeCoin	bridgecoin
PLR	Pillar	pillar
BCZERO	Buggyra Coin ...	buggyra-coin-zero
NCASH	Nucleus Vision	nucleus-vision
GNO	Gnosis	gnosis-gno
RDN	Raiden Networ...	raiden-network-token
RNT	OneRoot Network	oneroot-network
BITCNY	bitCNY	bitcny
IOTX	IoTeX	iotex
BOX	BOX Token	box-token
SWM	Swarm	swarm-fund
HPB	High Performa...	high-performance-blockchain
TOMO	TomoChain	tomochain
ANT	Aragon	aragon
AMB	Ambrosus	amber
UNO	Unobtanium	unobtanium
SAFEX	Safe Exchange...	safe-exchange-coin
MEDX	MediBloc [ERC20]	medx
OST	OST	ost
LBA	Cred	libra-credit
QNT	Quant	quant
BLZ	Bluzelle	bluzelle
QSP	Quantstamp	quantstamp
AMO	AMO Coin	amo-coin
XYO	XYO Network	xyo-network
ETHOS	Ethos	ethos
DDD	Scry.info	scryinfo
QRL	Quantum Resis...	quantum-resistant-ledger
REN	Republic Prot...	republic-protocol
CVT	CyberVein	cybervein
BURST	Burst	burst
UBQ	Ubiq	ubiq
NTY	Nexty	nexty
NAV	NavCoin	nav-coin
UTK	UTRUST	utrust
XWC	WhiteCoin	whitecoin
ZIP	Zipper	zip
ABT	Arcblock	arcblock
TNB	Time New Bank	time-new-bank
TCT	TokenClub	tokenclub
SBD	Steem Dollars	steem-dollars
RUFF	Ruff	ruff
PZM	PRIZM	prizm
NLG	Gulden	gulden
EDR	E-Dinar Coin	e-dinar-coin
NRG	Energi	energi
SNM	SONM	sonm
WET	WeShow Token	weshow-token
SMT	SmartMesh	smartmesh
